LABEL	state_id	item_index	lexical_identity	target_phonology	S0_freear_predicted_phonology	divergence_step	diag_prefix_correction_label	diag_prefix_correction_corrected_predicted_phonology	diag_prefix_correction_corrected_exact	diag_prefix_correction_corrected_second_divergence_step	diag_prefix_correction_corrected_terminated_by_cap
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_SRC	27308	reachable	R IY CH AH B AH L	AE D M AH N AH B AH L	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	R AE CH AH L IY	0	1	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_SRC	27309	reacquire	R IY AH K W AY R	R IY AH K EY T	4	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	R IY AH K W AY R	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_SRC	27317	reagan	R EY G AH N	R EY L AO N	2	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	R EY G AH N	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_SRC	27319	realist	R IY AH L IH S T	R EH Z AH K R AE T	1	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	R IY AH L IH S T	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_SRC	27321	realization	R IY L AH Z EY SH AH N	N IY AE L AH T IY	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	R IY L AH S IH Z M AH N	0	4	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_SRC	27322	ream	R IY M	L EY Z	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	R EY L	0	1	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_SRC	27323	reamer	R IY M ER	N IY V ER	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	R EH N AH W AO R D	0	1	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_SRC	27324	reap	R IY P	L UW M Z	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	R IY P	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_SRC	27327	reasoner	R IY Z AH N ER	R AH Z IH N	1	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	R IY Z AH N ER	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_SRC	27328	reassembly	R IY AH S EH M B L IY	R IY K AH N T IH NG	2	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	R IY AH S EY SH AH N	0	4	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_SRC	27329	reassume	R IY AH S UW M	R AH N AE K SH AH N	1	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	R IY AH S UW M	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_SRC	27333	rebellious	R IH B EH L Y AH S	R IH B AH L AH T AH S	3	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	R IH B EH L AH T IH V	0	5	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_SRC	27334	rebid	R IY B IH D	R IY B IY D	3	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	R IY B IH D	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_SRC	27336	rebook	R IY B UH K	R IY B AW N D	3	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	R IY B UH K	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_SRC	27339	rebuking	R IY B Y UW K IH NG	R IY P R OW G IH NG	2	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	R IY B Y UW K IH NG	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_SRC	27342	receivership	R IH S IY V ER SH IH P	S IY G AH L	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	R IH S IY V AH S T	0	5	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_SRC	27347	recital	R AH S AY T AH L	R OW L AW T	1	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	R AH S AY T AH L	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_SRC	27349	recklessness	R EH K L AH S N AH S	R EH R AH N S	2	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	R EH K AH L S	0	3	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_SRC	27350	reckon	R EH K AH N	R EH G AH N D	2	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	R EH K AH N	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_SRC	27352	reclaim	R IY K L EY M	R IY K L EH F T EY T	4	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	R IY K L EY M	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_SRC	27353	reclaimed	R IY K L EY M D	R IY S CH L IY D	2	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	R IY K L EY M D	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_SRC	27355	recliner	R IH K L AY N ER	R AH N HH IH CH	1	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	R IH T IY	0	2	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_SRC	27356	recluse	R IH K L UW S	R IH K AO R S	3	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	R IH K L UW S	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_SRC	27357	recompense	R EH K AH M P EH N S	P ER S AH M W AH N S	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	R EH K AH M N IY	0	5	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_SRC	27359	reconcile	R EH K AH N S AY L	R IY L AY G	1	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	R EH K AH N S AY L	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_SRC	27360	reconciled	R EH K AH N S AY L D	AH K W AY T L IY	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	R IY K W AY N D	0	1	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_SRC	27361	recondite	R EH K AH N D AY T	D R AO	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	R EH D AH K W AH N T	0	2	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_SRC	27362	reconnoiter	R IY K AH N OY T ER	K AA R JH IH N EY T	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	R IY F AH N T	0	2	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_SRC	27369	rectal	R EH K T AH L	R EH S T AH K AH L	2	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	R EH K T AH L	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_SRC	27370	rectangle	R EH K T AE NG G AH L	SH EH R N AH S	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	R OW P AH N	0	1	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_SRC	27371	rectifier	R EH K T AH F AY ER	AO R AH M AH N	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	R EH K T AH F AY ER	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_SRC	27373	rectitude	R EH K T IH T UW D	R EH D IH K L AH N S	2	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	R EH K L IH T AH N S	0	3	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_SRC	27374	rector	R EH K T ER	K AA M P AH S	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	R EH K T ER	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_SRC	27379	recurred	R IY K ER D	R IY K AA T M AH N	3	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	R IY K ER D	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_SRC	27381	recurring	R IH K ER IH NG	R IH K AH T AH L	3	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	R IH K ER IH NG	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_SRC	27382	recusal	R IH K Y UW Z AH L	R IH P Y UW Z IH SH AH N	2	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	R IH K Y UW Z AH L	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_SRC	27383	recuse	R IH K Y UW Z	L IH G AH L AY Z	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	R IH G ER T	0	2	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_SRC	27384	recycle	R IY S AY K AH L	R IY S UW T	3	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	R IY S AY K AH L	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_SRC	27385	redact	R IH D AE K T	R IH S AH F AY	2	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	R IH D AE K T	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_SRC	27387	redbud	R EH D B AH D	R EH D B AH G	5	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	R EH D B AH D	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_SRC	27390	redden	R EH D AH N	B R AW N	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	R EH D AH N	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_SRC	27392	reddish	R EH D IH SH	R EY D IY	1	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	R EH D IH SH	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_SRC	27394	redeemed	R IH D IY M D	R IH D EH M N AH D	3	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	R IH D IY M D	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_SRC	27396	redemptive	R IH D EH M P T IH V	R IH R AY T IH K	2	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	R IH D EH M P T IH V	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_SRC	27399	redford	R EH D F ER D	R EH F R IH D	2	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	R EH D F ER D	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_SRC	27400	redgrave	R EH D G R EY V	R EH P T IH N	2	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	R EH D G R EY V	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_SRC	27401	redirection	R IY D ER EH K SH AH N	S K EY P ER	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	R IY D R EH S IH NG	0	3	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_SRC	27403	redmond	R EH D M AH N D	R EY D B IY	1	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	R EH D S T OW N	0	3	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_SRC	27404	redneck	R EH D N EH K	R IH CH EH L	1	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	R EH D N EH K	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_SRC	27405	redness	R EH D N AH S	R IH M N AH S	1	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	R EH D N AH SH	0	5	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_SRC	27410	redound	R IY D AW N D	EH R IY N	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	R IY P L EY S	0	2	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_SRC	27413	redress	R IH D R EH S	R IH D UW P IY	3	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	R IH D R EH S	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_SRC	27423	reese	R IY S	B R IY K	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	R IY S	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_SRC	27424	reeve	R IY V	R OW Z EH T	1	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	R IY V AY N	0	3	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_SRC	27426	referee	R EH F ER IY	R EH G D	2	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	R EH F ER	0	4	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_SRC	27427	referendum	R EH F ER EH N D AH M	EH M P R EH G	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	R EH F Y AH G EY ZH AH N	0	3	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_SRC	27428	refill	R IY F IH L	R IY F UH T	3	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	R IY F IH L	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_SRC	27431	refinery	R IH F AY N ER IY	R IH Z AY N AH S	2	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	R IH F AY N ER IY	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_SRC	27439	reformation	R EH F ER M EY SH AH N	R EH G ER IH Z AH M	2	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	R EH F ER M EY SH AH N	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_SRC	27442	refractive	R AH F R AE K T IH V	R AH F R EY D	4	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	R AH F R AE K T IH V	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_SRC	27443	refractor	R AH F R AE K T ER	R AH F AH L	3	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	R AH F R AE F T	0	5	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_SRC	27445	refrain	R IH F R EY N	R IH F R EY N JH	6	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	R IH F R EY N	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_SRC	27446	refreshed	R IY F R EH SH T	R IY B AY T S	2	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	R IY F R EH D IY	0	5	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_SRC	27449	refrigerate	R IH F R IH JH ER EY T	K R IH S M EH R AH B AH L	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	R IH S P EH N S	0	2	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_SRC	27452	refugio	R AH F Y UW JH IY OW	R AE F Y AH L AH	1	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	R AH F Y UW B AH	0	5	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_SRC	27455	regain	R IH G EY N	R OW D EY	1	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	R IH G EY T	0	4	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_SRC	27457	regalia	R IH G EY L Y AH	R IH G AH T AO R IY AH L	3	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	R IH G EY L Y AH	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_SRC	27458	regatta	R IH G AA T AH	S K IH L ER	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	R IH G ER T	0	3	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_SRC	27462	regimen	R EH JH AH M AH N	R EH S AH JH EH N	2	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	R EH JH AH M AH N	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_SRC	27465	reginald	R EH JH AH N AH L D	P OW T AH N	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	R EH JH AH N AH L D	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_SRC	27466	regis	R IY JH IH S	HH AE L AH P IY N	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	R IY JH IH S	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_SRC	27474	regulate	R EH G Y AH L EY T	R EH T AH G R EY L	2	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	R EH G Y AH L EY T	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_SRC	27475	regulator	R EH G Y AH L EY T ER	Y UW S AO R IH S T	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	R EH JH AH W AH N	0	2	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_SRC	27476	regurgitate	R IH G ER JH AH T EY T	R IY T EY N	1	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	R IH M IY T EY T	0	2	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_SRC	27477	rehearsal	R IH HH ER S AH L	R IH HH ER N S AH L	4	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	R IH HH ER S AH L	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_SRC	27479	rehnquist	R EH N K W IH S T	R IH M AE N TH AH N	1	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	R EH N T ER	0	3	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_SRC	27480	rehydrate	R IY HH AY D R EY T	R IY HH OW L EY T	3	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	R IY HH AY D R EY T	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_SRC	27486	reimburse	R IY IH M B ER S	R IY M EY K	2	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	R IY IH M B AE S T	0	5	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_SRC	27489	reinaldo	R EY N AA L D OW	IH N D IH L EY	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	R EY N OW D IY AH	0	3	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_SRC	27490	reindeer	R EY N D IH R	F EH S T	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	R EY N D IH R	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_SRC	27491	reinforce	R IY IH N F AO R S	S IY F Y AH SH AH N	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	R IY S IH F Y AH N EY T	0	2	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_SRC	27492	reinhardt	R AY N HH AA R T	HH ER M B IH L	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	R AY N HH AA R T	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_SRC	27493	reinhold	R AY N HH OW L T	M AE N HH AY N	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	R AY N HH OW L D	0	6	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_SRC	27494	reinstall	R IY IH N S T AA L	R IY AH P L AY AH	2	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	R IY IH N S T AA L	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_SRC	27498	rejoice	R IH JH OY S	AH W EY	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	R IH DH ER	0	2	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_SRC	27500	rejoinder	R IH JH OY N D ER	L EH M ER OY D	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	R IH M Y UW N AH L	0	2	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_SRC	27501	rejuvenate	R IH JH UW V AH N EY T	R IY T UW P	1	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	R IH V AY Z	0	2	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_SRC	27502	relational	R IY L EY SH AH N AH L	L UW K AH L T IY	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	R IY L AH K AH L	0	3	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_SRC	27504	relent	R IH L EH N T	R IY L IH B	1	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	R IH L EH N T	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_SRC	27509	relic	R EH L IH K	R EH K AH V IH N Z	2	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	R EH L IH K S	0	5	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_SRC	27510	relieve	R IH L IY V	K R IH S T	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	R IH L IY V	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_SRC	27511	reliever	R IY L IY V ER	N IY R OW L IY	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	R IY L IY V ER	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_SRC	27513	relish	R EH L IH SH	R EH R ER IH NG	2	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	R EH L IH NG	0	4	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_SRC	27519	rembrandt	R EH M B R AE N T	R EH P R EH N CH ER	2	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	R EH M P G R EY	0	3	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_SRC	27520	remington	R EH M IH NG T AH N	IH R AH B EH L	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	R EH M IH NG T AH N	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_SRC	27521	reminisce	R EH M AH N IH S	R EH M IH N OY	3	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	R EH M AH N IH S	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_SRC	27523	remit	R IY M IH T	IH K S P EH N S	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	R IY M IH T	1	NA	0
