item_index	word	rank	target_phonemes	length	zipf_approx	is_word	gate	effective_ventral_weight	effective_dorsal_weight	lexical_confidence	lexical_margin	lexical_density	canonical_full_exact	canonical_full_predicted	canonical_wm_exact	canonical_wm_predicted	canonical_ltm_exact	canonical_ltm_predicted	canonical_fixed05_exact	canonical_fixed05_predicted	freear_full_exact	freear_full_predicted	freear_wm_exact	freear_wm_predicted	freear_ltm_exact	freear_ltm_predicted	freear_fixed05_exact	freear_fixed05_predicted	competence_category	competence_category_freear
170	very	171	V EH R IY	4	0.005848	1	0.5485937595367432	0.5485937595367432	0.45140624046325684	0.7974952459335327	0.04503750801086426	13.392766952514648	1	V EH R IY	1	V EH R IY	1	V EH R IY	1	V EH R IY	1	V EH R IY	1	V EH R IY	1	V EH R IY	1	V EH R IY	BOTH_CORRECT	BOTH_CORRECT
171	privacy	172	P R AY V AH S IY	7	0.005814	1	0.5775279998779297	0.5775279998779297	0.4224720001220703	0.856316864490509	0.36207330226898193	1.0564017295837402	1	P R AY V AH S IY	1	P R AY V AH S IY	1	P R AY V AH S IY	1	P R AY V AH S IY	1	P R AY V AH S IY	1	P R AY V AH S IY	1	P R AY V AH S IY	1	P R AY V AH S IY	BOTH_CORRECT	BOTH_CORRECT
172	book	173	B UH K	3	0.00578	1	0.5788931250572205	0.5788931250572205	0.42110687494277954	0.8591155409812927	0.06590592861175537	2.3026249408721924	1	B UH K	1	B UH K	1	B UH K	1	B UH K	1	B UH K	1	B UH K	1	B UH K	1	B UH K	BOTH_CORRECT	BOTH_CORRECT
173	items	174	AY T AH M Z	5	0.005747	1	0.5794694423675537	0.5794694423675537	0.4205305576324463	0.8602978587150574	0.20103174448013306	1.3707252740859985	1	AY T AH M Z	1	AY T AH M Z	1	AY T AH M Z	1	AY T AH M Z	1	AY T AH M Z	1	AY T AH M Z	1	AY T AH M Z	1	AY T AH M Z	BOTH_CORRECT	BOTH_CORRECT
174	company	175	K AH M P AH N IY	7	0.005714	1	0.585588812828064	0.585588812828064	0.41441118717193604	0.8728795647621155	0.14625459909439087	1.7392867803573608	1	K AH M P AH N IY	1	K AH M P AH N IY	1	K AH M P AH N IY	1	K AH M P AH N IY	1	K AH M P AH N IY	1	K AH M P AH N IY	1	K AH M P AH N IY	1	K AH M P AH N IY	BOTH_CORRECT	BOTH_CORRECT
175	r	176	AA R	2	0.005682	1	0.4932359457015991	0.4932359457015991	0.5067640542984009	0.6864710450172424	0.027325153350830078	68.12439727783203	1	AA R	1	AA R	1	AA R	1	AA R	1	AA R	1	AA R	1	AA R	1	AA R	BOTH_CORRECT	BOTH_CORRECT
176	read	177	R EH D	3	0.00565	1	0.5536266565322876	0.5536266565322876	0.4463733434677124	0.8076674938201904	0.19304239749908447	3.199793577194214	1	R EH D	1	R EH D	1	R EH D	1	R EH D	1	R EH D	1	R EH D	1	R EH D	1	R EH D	BOTH_CORRECT	BOTH_CORRECT
177	group	178	G R UW P	4	0.005618	1	0.5458799004554749	0.5458799004554749	0.45412009954452515	0.7920186519622803	0.12571746110916138	1.9795490503311157	1	G R UW P	1	G R UW P	1	G R UW P	1	G R UW P	1	G R UW P	1	G R UW P	1	G R UW P	1	G R UW P	BOTH_CORRECT	BOTH_CORRECT
178	sex	179	S EH K S	4	0.005587	1	0.5631316304206848	0.5631316304206848	0.4368683695793152	0.8269407153129578	0.15206855535507202	1.5642545223236084	1	S EH K S	1	S EH K S	1	S EH K S	1	S EH K S	1	S EH K S	1	S EH K S	1	S EH K S	1	S EH K S	BOTH_CORRECT	BOTH_CORRECT
179	need	180	N IY D	3	0.005556	1	0.5799782872200012	0.5799782872200012	0.4200217127799988	0.861342191696167	0.07217603921890259	13.055914878845215	1	N IY D	1	N IY D	1	N IY D	1	N IY D	1	N IY D	1	N IY D	1	N IY D	1	N IY D	BOTH_CORRECT	BOTH_CORRECT
180	many	181	M EH N IY	4	0.005525	1	0.5727124810218811	0.5727124810218811	0.4272875189781189	0.8464633226394653	0.11093902587890625	6.1759419441223145	1	M EH N IY	1	M EH N IY	1	M EH N IY	1	M EH N IY	1	M EH N IY	1	M EH N IY	1	M EH N IY	1	M EH N IY	BOTH_CORRECT	BOTH_CORRECT
181	user	182	Y UW Z ER	4	0.005495	1	0.5724344849586487	0.5724344849586487	0.4275655150413513	0.8458954095840454	0.07733219861984253	2.6284537315368652	1	Y UW Z ER	1	Y UW Z ER	1	Y UW Z ER	1	Y UW Z ER	1	Y UW Z ER	1	Y UW Z ER	1	Y UW Z ER	1	Y UW Z ER	BOTH_CORRECT	BOTH_CORRECT
182	said	183	S EH D	3	0.005464	1	0.5437451601028442	0.5437451601028442	0.45625483989715576	0.7877145409584045	0.08314788341522217	8.320459365844727	1	S EH D	1	S EH D	1	S EH D	1	S EH D	1	S EH D	1	S EH D	1	S EH D	1	S EH D	BOTH_CORRECT	BOTH_CORRECT
183	de	184	D IY	2	0.005435	1	0.5021899342536926	0.5021899342536926	0.4978100657463074	0.7043798565864563	0.14477401971817017	3.700108766555786	1	D IY	1	D IY	1	D IY	1	D IY	1	D IY	1	D IY	1	D IY	1	D IY	BOTH_CORRECT	BOTH_CORRECT
184	does	185	D AH Z	3	0.005405	1	0.5790650844573975	0.5790650844573975	0.42093491554260254	0.8594683408737183	0.1358230710029602	8.01047134399414	1	D AH Z	1	D AH Z	1	D AH Z	1	D AH Z	1	D AH Z	1	D AH Z	1	D AH Z	1	D AH Z	BOTH_CORRECT	BOTH_CORRECT
185	set	186	S EH T	3	0.005376	1	0.5472367405891418	0.5472367405891418	0.45276325941085815	0.7947560548782349	0.1486549973487854	4.2690229415893555	1	S EH T	1	S EH T	1	S EH T	1	S EH T	1	S EH T	1	S EH T	1	S EH T	1	S EH T	BOTH_CORRECT	BOTH_CORRECT
186	under	187	AH N D ER	4	0.005348	1	0.5444625020027161	0.5444625020027161	0.45553749799728394	0.7891604900360107	0.23640483617782593	3.168647527694702	1	AH N D ER	1	AH N D ER	1	AH N D ER	1	AH N D ER	1	AH N D ER	1	AH N D ER	1	AH N D ER	1	AH N D ER	BOTH_CORRECT	BOTH_CORRECT
187	general	188	JH EH N ER AH L	6	0.005319	1	0.5521252751350403	0.5521252751350403	0.4478747248649597	0.804630696773529	0.2677695155143738	1.3799827098846436	1	JH EH N ER AH L	1	JH EH N ER AH L	1	JH EH N ER AH L	1	JH EH N ER AH L	1	JH EH N ER AH L	1	JH EH N ER AH L	1	JH EH N ER AH L	1	JH EH N ER AH L	BOTH_CORRECT	BOTH_CORRECT
188	research	189	R IY S ER CH	5	0.005291	1	0.5761526823043823	0.5761526823043823	0.4238473176956177	0.853499710559845	0.16722464561462402	2.4089009761810303	1	R IY S ER CH	1	R IY S ER CH	1	R IY S ER CH	1	R IY S ER CH	1	R IY S ER CH	1	R IY S ER CH	1	R IY S ER CH	1	R IY S ER CH	BOTH_CORRECT	BOTH_CORRECT
189	january	190	JH AE N Y UW EH R IY	8	0.005263	1	0.573244035243988	0.573244035243988	0.42675596475601196	0.847549557685852	0.02613300085067749	8.967885971069336	1	JH AE N Y UW EH R IY	1	JH AE N Y UW EH R IY	1	JH AE N Y UW EH R IY	1	JH AE N Y UW EH R IY	1	JH AE N Y UW EH R IY	1	JH AE N Y UW EH R IY	1	JH AE N Y UW EH R IY	1	JH AE N Y UW EH R IY	BOTH_CORRECT	BOTH_CORRECT
190	mail	191	M EY L	3	0.005236	1	0.5497806668281555	0.5497806668281555	0.4502193331718445	0.7998921871185303	0.12270146608352661	2.2324976921081543	1	M EY L	1	M EY L	1	M EY L	1	M EY L	1	M EY L	1	M EY L	1	M EY L	1	M EY L	BOTH_CORRECT	BOTH_CORRECT
191	full	192	F UH L	3	0.005208	1	0.5438117384910583	0.5438117384910583	0.45618826150894165	0.7878487706184387	0.2051863670349121	6.046062469482422	1	F UH L	1	F UH L	1	F UH L	1	F UH L	1	F UH L	1	F UH L	1	F UH L	1	F UH L	BOTH_CORRECT	BOTH_CORRECT
192	map	193	M AE P	3	0.005181	1	0.5395963191986084	0.5395963191986084	0.4604036808013916	0.7793588638305664	0.1869899034500122	1.4371119737625122	1	M AE P	1	M AE P	1	M AE P	1	M AE P	1	M AE P	1	M AE P	1	M AE P	1	M AE P	BOTH_CORRECT	BOTH_CORRECT
193	reviews	194	R IY V Y UW Z	6	0.005155	1	0.5709250569343567	0.5709250569343567	0.4290749430656433	0.84281325340271	0.15374881029129028	1.373539924621582	1	R IY V Y UW Z	1	R IY V Y UW Z	1	R IY V Y UW Z	1	R IY V Y UW Z	1	R IY V Y UW Z	1	R IY V Y UW Z	1	R IY V Y UW Z	1	R IY V Y UW Z	BOTH_CORRECT	BOTH_CORRECT
194	program	195	P R OW G R AE M	7	0.005128	1	0.5907196998596191	0.5907196998596191	0.40928030014038086	0.8834707140922546	0.06755906343460083	1.8899741172790527	1	P R OW G R AE M	1	P R OW G R AE M	1	P R OW G R AE M	1	P R OW G R AE M	1	P R OW G R AE M	1	P R OW G R AE M	1	P R OW G R AE M	1	P R OW G R AE M	BOTH_CORRECT	BOTH_CORRECT
195	life	196	L AY F	3	0.005102	1	0.5660435557365417	0.5660435557365417	0.43395644426345825	0.8328633904457092	0.21877002716064453	2.826115608215332	1	L AY F	1	L AY F	1	L AY F	1	L AY F	1	L AY F	1	L AY F	1	L AY F	1	L AY F	BOTH_CORRECT	BOTH_CORRECT
196	know	197	N OW	2	0.005076	1	0.5571301579475403	0.5571301579475403	0.4428698420524597	0.8147614598274231	0.015258193016052246	44.73587417602539	1	N OW	1	N OW	1	N OW	1	N OW	1	N OW	1	N OW	1	N OW	1	N OW	BOTH_CORRECT	BOTH_CORRECT
197	games	198	G EY M Z	4	0.005051	1	0.57216876745224	0.57216876745224	0.42783123254776	0.8453525900840759	0.08372235298156738	2.5051400661468506	1	G EY M Z	1	G EY M Z	1	G EY M Z	1	G EY M Z	1	G EY M Z	1	G EY M Z	1	G EY M Z	1	G EY M Z	BOTH_CORRECT	BOTH_CORRECT
198	way	199	W EY	2	0.005025	1	0.5680712461471558	0.5680712461471558	0.43192875385284424	0.8369930386543274	0.07757705450057983	23.260847091674805	1	W EY	1	W EY	1	W EY	1	W EY	1	W EY	1	W EY	1	W EY	1	W EY	BOTH_CORRECT	BOTH_CORRECT
199	days	200	D EY Z	3	0.005	1	0.5785197615623474	0.5785197615623474	0.4214802384376526	0.8583498597145081	0.10628020763397217	4.965475559234619	1	D EY Z	1	D EY Z	1	D EY Z	1	D EY Z	1	D EY Z	1	D EY Z	1	D EY Z	1	D EY Z	BOTH_CORRECT	BOTH_CORRECT
200	management	201	M AE N AH JH M AH N T	9	0.004975	1	0.5751526951789856	0.5751526951789856	0.4248473048210144	0.8514528870582581	0.2422696352005005	1.337470531463623	1	M AE N AH JH M AH N T	1	M AE N AH JH M AH N T	1	M AE N AH JH M AH N T	1	M AE N AH JH M AH N T	1	M AE N AH JH M AH N T	1	M AE N AH JH M AH N T	1	M AE N AH JH M AH N T	1	M AE N AH JH M AH N T	BOTH_CORRECT	BOTH_CORRECT
201	p	202	P IY	2	0.00495	1	0.5269810557365417	0.5269810557365417	0.47301894426345825	0.7540146112442017	0.17107558250427246	2.0080695152282715	1	P IY	1	P IY	1	P IY	1	P IY	1	P IY	1	P IY	1	P IY	1	P IY	BOTH_CORRECT	BOTH_CORRECT
202	part	203	P AA R T	4	0.004926	1	0.564260721206665	0.564260721206665	0.43573927879333496	0.8292361497879028	0.22462749481201172	3.1945242881774902	1	P AA R T	1	P AA R T	1	P AA R T	1	P AA R T	1	P AA R T	1	P AA R T	1	P AA R T	1	P AA R T	BOTH_CORRECT	BOTH_CORRECT
203	could	204	K UH D	3	0.004902	1	0.5809820294380188	0.5809820294380188	0.4190179705619812	0.8634029626846313	0.06417655944824219	19.577228546142578	1	K UH D	1	K UH D	1	K UH D	1	K UH D	1	K UH D	1	K UH D	1	K UH D	1	K UH D	BOTH_CORRECT	BOTH_CORRECT
204	great	205	G R EY T	4	0.004878	1	0.5492861270904541	0.5492861270904541	0.4507138729095459	0.798893392086029	0.20153868198394775	4.12864351272583	1	G R EY T	1	G R EY T	1	G R EY T	1	G R EY T	1	G R EY T	1	G R EY T	1	G R EY T	1	G R EY T	BOTH_CORRECT	BOTH_CORRECT
205	united	206	Y UW N AY T IH D	7	0.004854	1	0.5570327639579773	0.5570327639579773	0.4429672360420227	0.8145641088485718	0.07098090648651123	2.5223820209503174	1	Y UW N AY T IH D	1	Y UW N AY T IH D	1	Y UW N AY T IH D	1	Y UW N AY T IH D	1	Y UW N AY T IH D	1	Y UW N AY T IH D	1	Y UW N AY T IH D	1	Y UW N AY T IH D	BOTH_CORRECT	BOTH_CORRECT
206	hotel	207	HH OW T EH L	5	0.004831	1	0.5870904326438904	0.5870904326438904	0.4129095673561096	0.8759751915931702	0.1561548113822937	1.4606696367263794	1	HH OW T EH L	1	HH OW T EH L	1	HH OW T EH L	1	HH OW T EH L	1	HH OW T EH L	1	HH OW T EH L	1	HH OW T EH L	1	HH OW T EH L	BOTH_CORRECT	BOTH_CORRECT
207	real	208	R IY L	3	0.004808	1	0.5461524724960327	0.5461524724960327	0.4538475275039673	0.7925683856010437	0.32788270711898804	2.028012275695801	1	R IY L	1	R IY L	1	R IY L	1	R IY L	1	R IY L	1	R IY L	1	R IY L	1	R IY L	BOTH_CORRECT	BOTH_CORRECT
208	f	209	EH F	2	0.004785	1	0.5450387001037598	0.5450387001037598	0.45496129989624023	0.7903221845626831	0.18603265285491943	1.6540203094482422	1	EH F	1	EH F	1	EH F	1	EH F	1	EH F	1	EH F	1	EH F	1	EH F	BOTH_CORRECT	BOTH_CORRECT
209	item	210	AY T AH M	4	0.004762	1	0.5773508548736572	0.5773508548736572	0.4226491451263428	0.8559538722038269	0.139853835105896	1.3077505826950073	1	AY T AH M	1	AY T AH M	1	AY T AH M	1	AY T AH M	1	AY T AH M	1	AY T AH M	1	AY T AH M	1	AY T AH M	BOTH_CORRECT	BOTH_CORRECT
210	center	211	S EH N T ER	5	0.004739	1	0.5761396884918213	0.5761396884918213	0.4238603115081787	0.8534731268882751	0.15081185102462769	1.384340763092041	1	S EH N T ER	1	S EH N T ER	1	S EH N T ER	1	S EH N T ER	1	S EH N T ER	1	S EH N T ER	1	S EH N T ER	1	S EH N T ER	BOTH_CORRECT	BOTH_CORRECT
211	ebay	212	IY B EY	3	0.004717	1	0.5459686517715454	0.5459686517715454	0.4540313482284546	0.7921976447105408	0.2129439115524292	1.3014529943466187	1	IY B EY	1	IY B EY	1	IY B EY	1	IY B EY	1	IY B EY	1	IY B EY	1	IY B EY	1	IY B EY	BOTH_CORRECT	BOTH_CORRECT
212	must	213	M AH S T	4	0.004695	1	0.5875230431556702	0.5875230431556702	0.41247695684432983	0.8768675923347473	0.0893668532371521	6.823162078857422	1	M AH S T	1	M AH S T	1	M AH S T	1	M AH S T	1	M AH S T	1	M AH S T	1	M AH S T	1	M AH S T	BOTH_CORRECT	BOTH_CORRECT
213	store	214	S T AO R	4	0.004673	1	0.5813946723937988	0.5813946723937988	0.41860532760620117	0.8642507195472717	0.07365554571151733	2.557298421859741	1	S T AO R	1	S T AO R	1	S T AO R	1	S T AO R	1	S T AO R	1	S T AO R	1	S T AO R	1	S T AO R	BOTH_CORRECT	BOTH_CORRECT
214	travel	215	T R AE V AH L	6	0.004651	1	0.5731025338172913	0.5731025338172913	0.42689746618270874	0.8472602963447571	0.21576613187789917	1.4876091480255127	1	T R AE V AH L	1	T R AE V AH L	1	T R AE V AH L	1	T R AE V AH L	1	T R AE V AH L	1	T R AE V AH L	1	T R AE V AH L	1	T R AE V AH L	BOTH_CORRECT	BOTH_CORRECT
215	comments	216	K AA M EH N T S	7	0.00463	1	0.5783928036689758	0.5783928036689758	0.42160719633102417	0.8580895066261292	0.06383568048477173	2.411726951599121	1	K AA M EH N T S	1	K AA M EH N T S	1	K AA M EH N T S	1	K AA M EH N T S	1	K AA M EH N T S	1	K AA M EH N T S	1	K AA M EH N T S	1	K AA M EH N T S	BOTH_CORRECT	BOTH_CORRECT
216	made	217	M EY D	3	0.004608	1	0.5511907935142517	0.5511907935142517	0.4488092064857483	0.802741527557373	0.11201739311218262	8.884472846984863	1	M EY D	1	M EY D	1	M EY D	1	M EY D	1	M EY D	1	M EY D	1	M EY D	1	M EY D	BOTH_CORRECT	BOTH_CORRECT
217	report	218	R IY P AO R T	6	0.004587	1	0.569649875164032	0.569649875164032	0.430350124835968	0.8402114510536194	0.09804224967956543	2.396732807159424	1	R IY P AO R T	1	R IY P AO R T	1	R IY P AO R T	1	R IY P AO R T	1	R IY P AO R T	1	R IY P AO R T	1	R IY P AO R T	1	R IY P AO R T	BOTH_CORRECT	BOTH_CORRECT
218	off	219	AO F	2	0.004566	1	0.5602641701698303	0.5602641701698303	0.4397358298301697	0.821117103099823	0.18531298637390137	3.703002691268921	1	AO F	1	AO F	1	AO F	1	AO F	1	AO F	1	AO F	1	AO F	1	AO F	BOTH_CORRECT	BOTH_CORRECT
219	member	220	M EH M B ER	5	0.004545	1	0.5654984712600708	0.5654984712600708	0.4345015287399292	0.8317540287971497	0.12040072679519653	1.5989079475402832	1	M EH M B ER	1	M EH M B ER	1	M EH M B ER	1	M EH M B ER	1	M EH M B ER	1	M EH M B ER	1	M EH M B ER	1	M EH M B ER	BOTH_CORRECT	BOTH_CORRECT
220	details	221	D IH T EY L Z	6	0.004525	1	0.5880442261695862	0.5880442261695862	0.4119557738304138	0.8779430985450745	0.08851206302642822	1.9355783462524414	1	D IH T EY L Z	1	D IH T EY L Z	1	D IH T EY L Z	1	D IH T EY L Z	1	D IH T EY L Z	1	D IH T EY L Z	1	D IH T EY L Z	1	D IH T EY L Z	BOTH_CORRECT	BOTH_CORRECT
221	line	222	L AY N	3	0.004505	1	0.5476230978965759	0.5476230978965759	0.4523769021034241	0.7955357432365417	0.15683436393737793	1.7484943866729736	1	L AY N	1	L AY N	1	L AY N	1	L AY N	1	L AY N	1	L AY N	1	L AY N	1	L AY N	BOTH_CORRECT	BOTH_CORRECT
222	terms	223	T ER M Z	4	0.004484	1	0.5621833801269531	0.5621833801269531	0.4378166198730469	0.8250139951705933	0.18371504545211792	2.1524648666381836	1	T ER M Z	1	T ER M Z	1	T ER M Z	1	T ER M Z	1	T ER M Z	1	T ER M Z	1	T ER M Z	1	T ER M Z	BOTH_CORRECT	BOTH_CORRECT
223	before	224	B IH F AO R	5	0.004464	1	0.5931970477104187	0.5931970477104187	0.4068029522895813	0.8885989189147949	0.15510213375091553	4.100127696990967	1	B IH F AO R	1	B IH F AO R	1	B IH F AO R	1	B IH F AO R	1	B IH F AO R	1	B IH F AO R	1	B IH F AO R	1	B IH F AO R	BOTH_CORRECT	BOTH_CORRECT
224	hotels	225	HH OW T EH L Z	6	0.004444	1	0.5759448409080505	0.5759448409080505	0.42405515909194946	0.8530741333961487	0.12029987573623657	1.8584561347961426	1	HH OW T EH L Z	1	HH OW T EH L Z	1	HH OW T EH L Z	1	HH OW T EH L Z	1	HH OW T EH L Z	1	HH OW T EH L Z	1	HH OW T EH L Z	1	HH OW T EH L Z	BOTH_CORRECT	BOTH_CORRECT
225	did	226	D IH D	3	0.004425	1	0.5730356574058533	0.5730356574058533	0.42696434259414673	0.8471237421035767	0.09348726272583008	13.740997314453125	1	D IH D	1	D IH D	1	D IH D	1	D IH D	1	D IH D	1	D IH D	1	D IH D	1	D IH D	BOTH_CORRECT	BOTH_CORRECT
226	send	227	S EH N D	4	0.004405	1	0.5652814507484436	0.5652814507484436	0.4347185492515564	0.8313124775886536	0.19232112169265747	1.9110496044158936	1	S EH N D	1	S EH N D	1	S EH N D	1	S EH N D	1	S EH N D	1	S EH N D	1	S EH N D	1	S EH N D	BOTH_CORRECT	BOTH_CORRECT
227	right	228	R AY T	3	0.004386	1	0.5589197278022766	0.5589197278022766	0.4410802721977234	0.8183895349502563	0.18602174520492554	6.137109756469727	1	R AY T	1	R AY T	1	R AY T	1	R AY T	1	R AY T	1	R AY T	1	R AY T	1	R AY T	BOTH_CORRECT	BOTH_CORRECT
228	type	229	T AY P	3	0.004367	1	0.5446861982345581	0.5446861982345581	0.4553138017654419	0.7896114587783813	0.08663517236709595	3.2106285095214844	1	T AY P	1	T AY P	1	T AY P	1	T AY P	1	T AY P	1	T AY P	1	T AY P	1	T AY P	BOTH_CORRECT	BOTH_CORRECT
229	because	230	B IH K AO Z	5	0.004348	1	0.5961658358573914	0.5961658358573914	0.40383416414260864	0.8947572708129883	0.10464411973953247	8.79015827178955	1	B IH K AO Z	1	B IH K AO Z	1	B IH K AO Z	1	B IH K AO Z	1	B IH K AO Z	1	B IH K AO Z	1	B IH K AO Z	1	B IH K AO Z	BOTH_CORRECT	BOTH_CORRECT
230	local	231	L OW K AH L	5	0.004329	1	0.5344837307929993	0.5344837307929993	0.46551626920700073	0.7690771818161011	0.17627519369125366	3.5788650512695312	1	L OW K AH L	1	L OW K AH L	1	L OW K AH L	1	L OW K AH L	1	L OW K AH L	1	L OW K AH L	1	L OW K AH L	1	L OW K AH L	BOTH_CORRECT	BOTH_CORRECT
231	those	232	DH OW Z	3	0.00431	1	0.5780819058418274	0.5780819058418274	0.4219180941581726	0.8574522137641907	0.046700239181518555	11.627677917480469	1	DH OW Z	1	DH OW Z	1	DH OW Z	1	DH OW Z	1	DH OW Z	1	DH OW Z	1	DH OW Z	1	DH OW Z	BOTH_CORRECT	BOTH_CORRECT
232	using	233	Y UW Z IH NG	5	0.004292	1	0.5805153250694275	0.5805153250694275	0.4194846749305725	0.8624446392059326	0.0956609845161438	3.3188579082489014	1	Y UW Z IH NG	1	Y UW Z IH NG	1	Y UW Z IH NG	1	Y UW Z IH NG	1	Y UW Z IH NG	1	Y UW Z IH NG	1	Y UW Z IH NG	1	Y UW Z IH NG	BOTH_CORRECT	BOTH_CORRECT
233	results	234	R IH Z AH L T S	7	0.004274	1	0.5758722424507141	0.5758722424507141	0.4241277575492859	0.8529254794120789	0.18646472692489624	1.3596951961517334	1	R IH Z AH L T S	1	R IH Z AH L T S	1	R IH Z AH L T S	1	R IH Z AH L T S	1	R IH Z AH L T S	1	R IH Z AH L T S	1	R IH Z AH L T S	1	R IH Z AH L T S	BOTH_CORRECT	BOTH_CORRECT
234	office	235	AO F AH S	4	0.004255	1	0.5735597014427185	0.5735597014427185	0.4264402985572815	0.8481948375701904	0.17964714765548706	1.4251022338867188	1	AO F AH S	1	AO F AH S	1	AO F AH S	1	AO F AH S	1	AO F AH S	1	AO F AH S	1	AO F AH S	1	AO F AH S	BOTH_CORRECT	BOTH_CORRECT
235	education	236	EH JH AH K EY SH AH N	8	0.004237	1	0.5889024138450623	0.5889024138450623	0.41109758615493774	0.8797149062156677	0.27728307247161865	1.3986912965774536	1	EH JH AH K EY SH AH N	1	EH JH AH K EY SH AH N	1	EH JH AH K EY SH AH N	1	EH JH AH K EY SH AH N	1	EH JH AH K EY SH AH N	1	EH JH AH K EY SH AH N	1	EH JH AH K EY SH AH N	1	EH JH AH K EY SH AH N	BOTH_CORRECT	BOTH_CORRECT
236	national	237	N AE SH AH N AH L	7	0.004219	1	0.5495596528053284	0.5495596528053284	0.45044034719467163	0.7994458675384521	0.28629177808761597	1.4546122550964355	1	N AE SH AH N AH L	1	N AE SH AH N AH L	1	N AE SH AH N AH L	1	N AE SH AH N AH L	1	N AE SH AH N AH L	1	N AE SH AH N AH L	1	N AE SH AH N AH L	1	N AE SH AH N AH L	BOTH_CORRECT	BOTH_CORRECT
237	car	238	K AA R	3	0.004202	1	0.560584545135498	0.560584545135498	0.43941545486450195	0.821767270565033	0.11447757482528687	2.7505149841308594	1	K AA R	1	K AA R	1	K AA R	1	K AA R	1	K AA R	1	K AA R	1	K AA R	1	K AA R	BOTH_CORRECT	BOTH_CORRECT
238	design	239	D IH Z AY N	5	0.004184	1	0.5895019769668579	0.5895019769668579	0.4104980230331421	0.8809534907341003	0.10678112506866455	1.720609188079834	1	D IH Z AY N	1	D IH Z AY N	1	D IH Z AY N	1	D IH Z AY N	1	D IH Z AY N	1	D IH Z AY N	1	D IH Z AY N	1	D IH Z AY N	BOTH_CORRECT	BOTH_CORRECT
239	take	240	T EY K	3	0.004167	1	0.5912696123123169	0.5912696123123169	0.4087303876876831	0.8846082091331482	0.1760340929031372	5.141251564025879	1	T EY K	1	T EY K	1	T EY K	1	T EY K	1	T EY K	1	T EY K	1	T EY K	1	T EY K	BOTH_CORRECT	BOTH_CORRECT
240	posted	241	P OW S T IH D	6	0.004149	1	0.5839043259620667	0.5839043259620667	0.41609567403793335	0.8694109916687012	0.10435748100280762	1.4181615114212036	1	P OW S T IH D	1	P OW S T IH D	1	P OW S T IH D	1	P OW S T IH D	1	P OW S T IH D	1	P OW S T IH D	1	P OW S T IH D	1	P OW S T IH D	BOTH_CORRECT	BOTH_CORRECT
241	internet	242	IH N T ER N EH T	7	0.004132	1	0.5801456570625305	0.5801456570625305	0.4198543429374695	0.8616856932640076	0.13155704736709595	2.7696075439453125	1	IH N T ER N EH T	1	IH N T ER N EH T	1	IH N T ER N EH T	1	IH N T ER N EH T	1	IH N T ER N EH T	1	IH N T ER N EH T	1	IH N T ER N EH T	1	IH N T ER N EH T	BOTH_CORRECT	BOTH_CORRECT
242	address	243	AE D R EH S	5	0.004115	1	0.5712206959724426	0.5712206959724426	0.4287793040275574	0.8434166312217712	0.15648478269577026	1.7403219938278198	1	AE D R EH S	1	AE D R EH S	1	AE D R EH S	1	AE D R EH S	1	AE D R EH S	1	AE D R EH S	1	AE D R EH S	1	AE D R EH S	BOTH_CORRECT	BOTH_CORRECT
243	community	244	K AH M Y UW N AH T IY	9	0.004098	1	0.5816900730133057	0.5816900730133057	0.41830992698669434	0.86485755443573	0.37052321434020996	1.0689486265182495	1	K AH M Y UW N AH T IY	1	K AH M Y UW N AH T IY	1	K AH M Y UW N AH T IY	1	K AH M Y UW N AH T IY	1	K AH M Y UW N AH T IY	1	K AH M Y UW N AH T IY	1	K AH M Y UW N AH T IY	1	K AH M Y UW N AH T IY	BOTH_CORRECT	BOTH_CORRECT
244	within	245	W IH DH IH N	5	0.004082	1	0.5693210959434509	0.5693210959434509	0.4306789040565491	0.839540958404541	0.3021411895751953	1.9341188669204712	1	W IH DH IH N	1	W IH DH IH N	1	W IH DH IH N	1	W IH DH IH N	1	W IH DH IH N	1	W IH DH IH N	1	W IH DH IH N	1	W IH DH IH N	BOTH_CORRECT	BOTH_CORRECT
245	states	246	S T EY T S	5	0.004065	1	0.5327346324920654	0.5327346324920654	0.46726536750793457	0.7655630707740784	0.11864727735519409	6.478797912597656	1	S T EY T S	1	S T EY T S	1	S T EY T S	1	S T EY T S	1	S T EY T S	1	S T EY T S	1	S T EY T S	1	S T EY T S	BOTH_CORRECT	BOTH_CORRECT
246	area	247	EH R IY AH	4	0.004049	1	0.5840827226638794	0.5840827226638794	0.4159172773361206	0.869778037071228	0.11946845054626465	1.9466320276260376	1	EH R IY AH	1	EH R IY AH	1	EH R IY AH	1	EH R IY AH	1	EH R IY AH	1	EH R IY AH	1	EH R IY AH	1	EH R IY AH	BOTH_CORRECT	BOTH_CORRECT
247	want	248	W AA N T	4	0.004032	1	0.5966800451278687	0.5966800451278687	0.40331995487213135	0.8958255052566528	0.11640316247940063	9.524827003479004	1	W AA N T	1	W AA N T	1	W AA N T	1	W AA N T	1	W AA N T	1	W AA N T	1	W AA N T	1	W AA N T	BOTH_CORRECT	BOTH_CORRECT
248	phone	249	F OW N	3	0.004016	1	0.5860112309455872	0.5860112309455872	0.41398876905441284	0.8737500905990601	0.11887764930725098	2.2921857833862305	1	F OW N	1	F OW N	1	F OW N	1	F OW N	1	F OW N	1	F OW N	1	F OW N	1	F OW N	BOTH_CORRECT	BOTH_CORRECT
